Name,Price,VIN,Vehicle Summary,Top Features & Specs
2019 Chevrolet Silverado 1500 LTZ 4dr Crew Cab 4WD 5.8 ft. SB (6.2L 8cyl 10A),"$52,695",VIN: 1GCUYGEL6KZ229528,"['19,365 Miles', 'Ext: Cajun Red Tintcoat', 'Int: Gideon/Very Dark Atmosphere Leather', 'Automatic Transmission', 'Four Wheel Drive', '420 Horsepower', 'Gas Engine', '16 City / 22 Hwy\nBased on model year EPA mileage ratings for a standardly equipped Silverado 1500. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'10” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Connected navigation', 'Memory|Seat', 'Android Auto', 'Apple CarPlay', 'Auxiliary input', 'Bluetooth audio', 'woofer|AUDIO SYSTEM CHEVROLET INFOTAINMENT 3 PREMIUM SYSTEM', 'Automatic Braking', 'Diagonal multi-color digital display', 'HD Surround Vision', 'Lane Departure Warning', 'Rear park assist', 'Side Blind Zone Alert', 'All-Season|Tires']"
2020 Dodge Challenger R/T 2dr Coupe (5.7L 8cyl 8A),"$40,495",VIN: 2C3CDZBT8LH210556,"['9,246 Miles', 'Ext: Hellraisin', 'Int: Black Premium Leather/Sueded Microfiber', 'Automatic Transmission', 'Rear Wheel Drive', '372 Horsepower', 'Gas Engine', '15 City / 23 Hwy\nBased on model year EPA mileage ratings for a standardly equipped Challenger. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['GPS Navigation', 'Multi-Zone A/C', 'Power Driver Seat', 'Remote keyless entry', 'Remote Start System', 'Steering Wheel Mounted Shift Control', '6 Premium Alpine Speakers', 'Apple CarPlay/Android Auto', 'Auxiliary Audio Input', 'Integrated Voice Command w/Bluetooth', 'Brake Assist', 'Rear Parking Aid', 'Security System', 'Stability Control', 'Tire Pressure Monitor', 'Heated door mirrors', 'Illuminated Air-Catcher Headlamps']"
2020 Ram 1500 Limited 4dr Crew Cab 4WD 5.6 ft SB (5.7L 8cyl gas/electric hybrid 8A),"$58,531",VIN: 1C6SRFHT1LN110103,"['16,397 Miles', 'Ext: Bright White Clear Coat', 'Int: Indigo/Frost Premium Leather', 'Automatic Transmission', 'Four Wheel Drive', '395 Horsepower', '19 City / 24 Hwy\nBased on model year EPA mileage ratings for a standardly equipped 1500. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']",[]
2020 Lincoln Aviator Reserve 4dr SUV AWD (3.0L 6cyl Turbo 10A),"$59,000",VIN: 5LM5J7XC6LGL01291,"['26,690 Miles', 'Ext: Infinite Black Metallic', 'Int: Ebony Leather', 'Automatic Transmission', 'All Wheel Drive', '400 Horsepower', 'Gas Engine', '17 City / 24 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '7 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Cooled Front Seat(s)', 'Heated Front Seat(s)', 'Heated Steering Wheel', 'Keyless Entry', 'Multi-Zone A/C', 'Navigation System', '', '', '', '', '', '', 'Auxiliary Audio Input', 'Premium Sound System', 'Smart Device Integration', 'WiFi Hotspot', 'Blind Spot Monitor', 'Brake Assist', 'Front Collision Mitigation', 'Lane Departure Warning', 'Rear Parking Aid', 'Security System', '', '', 'All Wheel Drive', 'Automatic Headlights', 'Heated door mirrors', 'Integrated Turn Signal Mirrors', 'Turbocharged']"
2019 Ford F-150 XLT 4dr SuperCrew 5.5 ft. SB (3.3L 6cyl 6A),"$39,997",VIN: 1FTEW1C54KKD22195,"['7,595 Miles', 'Ext: Magnetic Metallic', 'Int: Medium Earth Gray Cloth', 'Automatic Transmission', 'Rear Wheel Drive', '395 Horsepower', 'Flex-Fuel (FFV) Engine', '19 City / 25 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']",[]
2019 Ford F-150 XL 4dr SuperCrew 4WD 5.5 ft. SB (5.0L 8cyl 10A),"$38,749",VIN: 1FTEW1E50KKC97387,"['30,159 Miles', 'Ext: Oxford White', 'Int: Medium Earth Gray Vinyl', 'Automatic Transmission', 'Four Wheel Drive', '395 Horsepower', 'Flex-Fuel (FFV) Engine', '18 City / 23 Hwy\nBased on model year EPA mileage ratings for a standardly equipped F-150. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '6 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Auxiliary Audio Input', 'Brake Assist', 'Stability Control', 'Tire Pressure Monitor', 'Automatic Headlights', 'Four Wheel Drive', 'Tires - Front All-Terrain']"
2018 Ford F-150 XLT 4dr SuperCrew 4WD 5.5 ft. SB (3.3L 6cyl 6A),"$41,169",VIN: 1FTEW1E53JKC32886,"['12,705 Miles', 'Ext: Shadow Black', 'Int: Black Premium Cloth', 'Automatic Transmission', 'Four Wheel Drive', '18 City / 23 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']",[]
2020 Ford Mustang EcoBoost 2dr Coupe (2.3L 4cyl Turbo 6M),"$31,185",VIN: 1FA6P8TH2L5127030,"['15,033 Miles', 'Ext: Oxford White', 'Int: Ebony Cloth', 'Manual Transmission', 'Rear Wheel Drive', '330 Horsepower', 'Gas Engine', '21 City / 30 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '4 Seats\nBased on default model values and available option information. Contact dealer to confirm.']",[]
2017 Ford F-350 Super Duty King Ranch 4dr Crew Cab 4WD LB DRW (6.7L 8cyl Turbo Turbodiesel 6A),"$72,828",VIN: 1FT8W3DT0HEC28361,"['32,462 Miles', 'Ext: White Gold Metallic', 'Int: King Ranch Mesa W/Java Accents Premium Leather', 'Automatic Transmission', 'Four Wheel Drive', 'Diesel Engine', ""8'2” Bed Length"", 'Dual Rear Wheels', '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']",[]
2019 Ford F-150 XL 2dr Regular Cab 8 ft. LB (3.3L 6cyl 6A),"$29,670",VIN: 1FTMF1CB3KKC95038,"['6,465 Miles', 'Ext: Blue Jeans', 'Int: Dark Earth Gray Cloth', 'Automatic Transmission', 'Rear Wheel Drive', '290 Horsepower', 'Gas Engine', '19 City / 25 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""8'2” Bed Length"", '3 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Bluetooth', 'Class IV Trailer Hitch Receiver']"
